日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20210630,6165,パンチ工業,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6166,中村超硬,マザーズ（内国株）,3600,機械,8,機械 ,-,-
20210630,6167,冨士ダイス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
20210630,6168,オージックグループ,PRO Market,3600,機械,8,機械 ,-,-
20210630,6171,土木管理総合試験所,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6172,メタップス,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6173,アクアライン,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6174,デンタス,PRO Market,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6175,ネットマーケティング,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6176,ブランジスタ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6177,ＡｐｐＢａｎｋ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6178,日本郵政,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,2,TOPIX Large70
20210630,6180,ＧＭＯメディア,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6181,タメニー,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6182,ロゼッタ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6183,ベルシステム２４ホールディングス,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210630,6184,鎌倉新書,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6185,ＳＭＮ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6186,一蔵,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6188,富士ソフトサービスビューロ,市場第二部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6189,グローバルキッズＣＯＭＰＡＮＹ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6190,フェニックスバイオ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6191,エアトリ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6192,ハイアス・アンド・カンパニー,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6193,バーチャレクス・ホールディングス,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6194,アトラエ,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6195,ホープ,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6196,ストライク,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210630,6197,ソラスト,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,6,TOPIX Small 1
20210630,6198,キャリア,マザーズ（内国株）,9050,サービス業,10,情報通信・サービスその他 ,-,-
20210630,6199,セラク,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,7,TOPIX Small 2
20210630,6200,インソース,市場第一部（内国株）,9050,サービス業,10,情報通信・サービスその他 ,6,TOPIX Small 1
