Date,High,Low,Open,Close,Volume,Adj Close
2015-01-05,3070.0,2949.0,2951.0,2990.0,765500.0,2782.810302734375
2015-01-06,3020.0,2917.0,2948.0,2918.0,674100.0,2715.799072265625
2015-01-07,2984.0,2892.0,2900.0,2941.0,954100.0,2737.205810546875
2015-01-08,2968.0,2916.0,2949.0,2932.0,655500.0,2728.828857421875
2015-01-09,2940.0,2877.0,2926.0,2896.0,656300.0,2695.323974609375
2015-01-13,2923.0,2840.0,2866.0,2923.0,403600.0,2720.452392578125
2015-01-14,2956.0,2894.0,2894.0,2947.0,403300.0,2742.790283203125
2015-01-15,3050.0,2950.0,2967.0,3035.0,479100.0,2824.691650390625
2015-01-16,2981.0,2891.0,2971.0,2962.0,556300.0,2756.75048828125
2015-01-19,3000.0,2946.0,2981.0,2988.0,398000.0,2780.948486328125
2015-01-20,3015.0,2938.0,2998.0,2973.0,516300.0,2766.98828125
2015-01-21,3015.0,2958.0,3005.0,3010.0,409900.0,2801.42431640625
2015-01-22,3055.0,2993.0,3010.0,3050.0,411400.0,2838.652587890625
2015-01-23,3095.0,3045.0,3090.0,3080.0,286000.0,2866.5732421875
2015-01-26,3095.0,3045.0,3055.0,3090.0,230700.0,2875.880859375
2015-01-27,3130.0,3050.0,3090.0,3105.0,477900.0,2889.84130859375
2015-01-28,3160.0,3070.0,3095.0,3155.0,266900.0,2936.376708984375
2015-01-29,3130.0,3020.0,3035.0,3045.0,753900.0,2833.9990234375
2015-01-30,3095.0,2950.0,3075.0,3030.0,883800.0,2820.038330078125
2015-02-02,3200.0,3050.0,3055.0,3190.0,605500.0,2968.951171875
2015-02-03,3375.0,3235.0,3255.0,3265.0,1016100.0,3038.75390625
2015-02-04,3310.0,3220.0,3295.0,3260.0,602000.0,3034.100341796875
2015-02-05,3300.0,3200.0,3265.0,3205.0,378400.0,2982.91162109375
2015-02-06,3230.0,3165.0,3230.0,3180.0,465100.0,2959.64404296875
2015-02-09,3245.0,3105.0,3245.0,3170.0,490700.0,2950.337158203125
2015-02-10,3195.0,3130.0,3175.0,3150.0,275800.0,2931.72265625
2015-02-12,3250.0,3170.0,3195.0,3220.0,358000.0,2996.87255859375
2015-02-13,3215.0,3160.0,3205.0,3190.0,427400.0,2968.951171875
2015-02-16,3305.0,3220.0,3220.0,3285.0,271300.0,3057.368408203125
