Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,5day,25day,75day
2001-01-01,4138.26123046875,4138.26123046875,4138.26123046875,4138.26123046875,0.0,0.0,0.0,,,
2001-01-04,4049.5823505940616,4184.075936648729,4049.5823505940616,4170.7744140625,481822.0,0.0,0.0,,,
2001-01-05,4182.596221369612,4293.442039724621,4182.596221369612,4241.7138671875,569668.0,0.0,0.0,,,
2001-01-08,4241.7138671875,4241.7138671875,4241.7138671875,4241.7138671875,0.0,0.0,0.0,,,
2001-01-09,4064.362161822478,4138.259723294623,3916.5675037713754,3960.90576171875,623440.0,0.0,0.0,4150.673828125,,
2001-01-10,3960.9059873204255,4098.355385104423,3870.751105955269,3901.787841796875,350319.0,0.0,0.0,4103.379150390625,,
2001-01-11,3768.773039783937,3768.773039783937,3458.4033203124995,3458.4033203125,832673.0,0.0,0.0,3960.904931640625,,
2001-01-12,3591.4185083990214,3857.44970703125,3514.5651491605036,3857.44970703125,923714.0,0.0,0.0,3884.052099609375,,
2001-01-15,4123.479581340238,4286.054095109183,4064.3614495443203,4274.23046875,802326.0,0.0,0.0,3890.555419921875,,
2001-01-16,4330.391829977157,4330.391829977157,4079.140380859375,4079.140380859375,515895.0,0.0,0.0,3914.20234375,,
2001-01-17,4122.001395917426,4212.15625,4052.537537836693,4212.15625,654319.0,0.0,0.0,3976.276025390625,,
2001-01-18,4345.173352605931,4346.651713223465,4223.981719177277,4286.0556640625,776239.0,0.0,0.0,4141.806494140625,,
2001-01-19,4419.069415920937,4492.966966204889,4323.002972466292,4398.37841796875,568070.0,0.0,0.0,4249.992236328125,,
2001-01-22,4309.7025746528525,4312.658365860785,4150.083805812408,4303.79052734375,210298.0,0.0,0.0,4255.904248046875,,
2001-01-23,4215.114464724929,4396.902637428316,4154.518407157134,4330.39453125,267264.0,0.0,0.0,4306.155078125,,
2001-01-24,4419.069141537811,4432.370662571573,4330.392179681708,4368.81884765625,308792.0,0.0,0.0,4337.48759765625,,
2001-01-25,4463.4083789714705,4463.4083789714705,4209.201089463113,4299.35595703125,248630.0,0.0,0.0,4340.14765625,,
2001-01-26,4167.81982421875,4212.158560488025,4145.65092097744,4167.81982421875,373212.0,0.0,0.0,4294.0359375,,
2001-01-29,4167.817140664462,4167.817140664462,4095.397964223331,4111.6552734375,271524.0,0.0,0.0,4255.60888671875,,
